atualizacao,codigo,link,prj_brazil,prj_instituicao,prj_titulo,prj_valor
220329,adaptationfundorg4220329_4_024,https://www.adaptation-fund.org/project/belize-marine-conservation-and-climate-adaptation-project/,N,adaptationfundorg4,Belize Marine Conservation and Climate Adaptation Initiative,"USD 6,000,000"
220329,adaptationfundorg4220329_4_025,https://www.adaptation-fund.org/project/reduction-of-vulnerability-to-coastal-flooding-through-ecosystem-based-adaptation-in-the-south-of-artemisa-and-mayabeque-provinces/,N,adaptationfundorg4,Reduction of Vulnerability to Coastal Flooding through Ecosystem-based Adaptation in the South of Artemisa and Mayabeque Provinces,"USD 6,067,320"
220329,adaptationfundorg4220329_4_026,https://www.adaptation-fund.org/project/addressing-climate-change-risks-on-water-and-food-security-in-the-dry-zone-of-myanmar/,N,adaptationfundorg4,Addressing Climate Change Risks on Water Resources and Food Security in the Dry Zone of Myanmar,"USD 7,909,026"
220329,adaptationfundorg4220329_4_027,https://www.adaptation-fund.org/project/ecosystem-based-adaptation-to-climate-change-in-seychelles/,N,adaptationfundorg4,Ecosystem Based Adaptation to Climate Change in Seychelles,"USD 6,455,750"
220329,adaptationfundorg4220329_4_028,https://www.adaptation-fund.org/project/developing-climate-resilience-of-farming-communities-in-the-drought-prone-parts-of-uzbekistan/,N,adaptationfundorg4,Developing climate resilience of farming communities in the drought prone parts of Uzbekistan,"USD 5,415,103"
220329,adaptationfundorg4220329_4_029,https://www.adaptation-fund.org/project/reducing-vulnerability-to-climate-change-in-north-west-rwanda-through-community-based-adaptation/,N,adaptationfundorg4,Reducing Vulnerability to Climate Change in North West Rwanda through Community Based Adaptation,"USD 9,969,619"
220329,adaptationfundorg4220329_4_030,https://www.adaptation-fund.org/project/enhancing-the-adaptive-capacity-and-increasing-resilience-of-small-scale-agriculture-producers-of-the-northeast-of-argentina/,N,adaptationfundorg4,Enhancing the Adaptive Capacity and Increasing Resilience of Small-size Agriculture Producers of the Northeast of Argentina,"USD 5,640,000"
220329,adaptationfundorg4220329_4_031,https://www.adaptation-fund.org/project/increasing-climate-resilience-and-enhancing-sustainable-land-management-in-the-southwest-of-buenos-aires-province/,N,adaptationfundorg4,Increasing Climate Resilience and Enhancing Sustainable Land Management in the Southwest of the Buenos Aires Province,"USD 4,296,817"
220329,adaptationfundorg4220329_4_032,https://www.adaptation-fund.org/project/enhancing-resilience-of-communities-to-the-adverse-effects-of-climate-change-on-food-security-in-mauritania/,N,adaptationfundorg4,Enhancing Resilience of Communities to the Adverse Effects of Climate Change on Food Security in Mauritania,"USD 7,803,605"
220329,adaptationfundorg4220329_4_033,https://www.adaptation-fund.org/project/enhancing-the-resilience-of-the-agricultural-sector-and-coastal-areas-to-protect-livelihoods-and-improve-food-security/,N,adaptationfundorg4,Enhancing the Resilience of the Agricultural Sector and Coastal Areas to Protect Livelihoods and Improve Food Security,"USD 9,965,000"
220329,adaptationfundorg4220329_4_034,https://www.adaptation-fund.org/project/building-resilient-food-security-systems-to-benefit-the-southern-egypt-region/,N,adaptationfundorg4,Building Resilient Food Security Systems to Benefit the Southern Egypt Region,"USD 6,904,318"
220329,adaptationfundorg4220329_4_035,https://www.adaptation-fund.org/project/developing-agro-pastoral-shade-gardens-as-an-adaptation-strategy-for-poor-rural-communities-in-djibouti/,N,adaptationfundorg4,Developing Agro-Pastoral Shade Gardens as an Adaptation Strategy for Poor Rural Communities,"USD 4,658,556"
220329,adaptationfundorg4220329_4_036,https://www.adaptation-fund.org/project/reducing-risk-and-vulnerability-to-climate-change-in-the-region-of-la-depresion-momposina-in-colombia/,N,adaptationfundorg4,Reducing Risk and Vulnerability to Climate Change in the Region of La Depresion Momposina in Colombia,"USD 8,518,307"
220329,adaptationfundorg4220329_4_037,https://www.adaptation-fund.org/project/enhancing-climate-resilience-of-rural-communities-living-in-protected-areas-of-cambodia/,N,adaptationfundorg4,Enhancing Climate Resilience of Rural Communities Living in Protected Areas of Cambodia,"USD 4,954,273"
220329,adaptationfundorg4220329_4_038,https://www.adaptation-fund.org/project/madagascar-promoting-climate-resilience-in-the-rice-sector/,N,adaptationfundorg4,Promoting climate resilience in the rice sector through pilot investments in Alaotra-Mangoro region,"USD 5,104,925"
220329,adaptationfundorg4220329_4_039,https://www.adaptation-fund.org/project/enhancing-resilience-of-samoas-coastal-communities-to-climate-change/,N,adaptationfundorg4,Enhancing Resilience of Samoa’s Coastal Communities to Climate Change,"USD 8,732,351"
220329,adaptationfundorg4220329_4_040,https://www.adaptation-fund.org/project/uruguay-helping-small-farmers-adapt-to-climate-change/,N,adaptationfundorg4,Building resilience to climate change and variability in vulnerable smallholders,"USD 9,967,678"
220329,adaptationfundorg4220329_4_041,https://www.adaptation-fund.org/project/strengthening-the-resilience-of-our-islands-and-our-communities-to-climate-change/,N,adaptationfundorg4,Akamatutu’anga i te iti tangata no te tuatau manakokore ia e te taui’anga reva – Strengthening the Resilience of our Islands and our Communities to Climate Change,"USD 5,381,600"
220329,adaptationfundorg4220329_4_042,https://www.adaptation-fund.org/project/implementation-of-concrete-adaptation-measures-to-reduce-vulnerability-of-livelihood-and-economy-of-coastal-communities-in-tanzania/,N,adaptationfundorg4,Implementation Of Concrete Adaptation Measures To Reduce Vulnerability Of Livelihood and Economy Of Coastal Communities In Tanzania,"USD 5,008,564"
220329,adaptationfundorg4220329_4_043,https://www.adaptation-fund.org/project/developing-climate-resilient-flood-and-flash-flood-management-practices-to-protect-vulnerable-communities-of-georgia/,N,adaptationfundorg4,Developing Climate Resilient Flood and Flash Flood Management Practices to Protect Vulnerable Communities of Georgia,"USD 5,316,500"
220329,adaptationfundorg4220329_4_044,https://www.adaptation-fund.org/project/climate-change-adaptation-programme-in-the-coastal-zone-of-mauritius/,N,adaptationfundorg4,Climate Change Adaptation Programme in the Coastal Zone of Mauritius,"USD 9,119,240"
220329,adaptationfundorg4220329_4_045,https://www.adaptation-fund.org/project/addressing-climate-change-risks-to-farming-systems-in-turkmenistan-at-national-and-community-level/,N,adaptationfundorg4,Addressing climate change risks to farming systems in Turkmenistan at national and community level,"USD 2,929,500"
220329,adaptationfundorg4220329_4_046,https://www.adaptation-fund.org/project/increasing-climate-resilience-through-an-integrated-water-resource-management-programme-in-ha-ihavandhoo-adh-mahibadhoo-and-gdh-gadhdhoo-island/,N,adaptationfundorg4,"Increasing climate resilience through an Integrated Water Resource Management Programme in HA. Ihavandhoo, ADh. Mahibadhoo and GDh. Gadhdhoo Island","USD 8,989,225"
220329,adaptationfundorg4220329_4_047,https://www.adaptation-fund.org/project/ecosystem-based-adaptation-approach-to-maintaining-water-security-in-critical-water-catchments-in-mongolia/,N,adaptationfundorg4,Ecosystem Based Adaptation Approach to Maintaining Water Security in Critical Water Catchments in Mongolia,"USD 5,500,000"
220329,adaptationfundorg4220329_4_048,https://www.adaptation-fund.org/project/enhancing-resilience-of-communities-in-solomon-islands-to-the-adverse-effects-of-climate-change-in-agriculture-and-food-security/,N,adaptationfundorg4,Enhancing resilience of communities in Solomon Islands to the adverse effects of climate change in agriculture and food security,"USD 5,533,500"
220329,adaptationfundorg4220329_4_049,https://www.adaptation-fund.org/project/reducing-risks-and-vulnerabilities-from-glacier-lake-outburst-floods-in-northern-pakistan/,N,adaptationfundorg4,Reducing Risks and Vulnerabilities from Glacier Lake Outburst Floods in Northern Pakistan,"USD 3,906,000"
220329,adaptationfundorg4220329_4_050,https://www.adaptation-fund.org/project/reduction-of-risks-and-vulnerability-based-on-flooding-and-droughts-in-the-estero-real-river-watershed/,N,adaptationfundorg4,Reduction of Risks and Vulnerability Based on Flooding and Droughts in the Estero Real Watershed,"USD 5,500,950"
220329,adaptationfundorg4220329_4_051,https://www.adaptation-fund.org/project/addressing-climate-change-risks-on-water-resources-in-honduras-increased-systemic-resilience-and-reduced-vulnerability-of-the-urban-poor/,N,adaptationfundorg4,Addressing Climate Change Risks on Water Resources in Honduras: Increased Systemic Resilience and Reduced Vulnerability of the Urban Poor,"USD 5,620,300"
220329,adaptationfundorg4220329_4_052,https://www.adaptation-fund.org/project/climate-change-adaptation-programme-in-water-and-agriculture-in-anseba-region-eritrea/,N,adaptationfundorg4,"Climate Change Adaptation Programme In Water and Agriculture In Anseba Region, Eritrea","USD 6,520,850"
220329,adaptationfundorg4220329_4_053,https://www.adaptation-fund.org/project/enhancing-resilience-of-communities-to-the-adverse-effects-of-climate-change-on-food-security-in-pichincha-province-and-the-jubones-river-basin/,N,adaptationfundorg4,"Enhancing resilience of communities to the adverse effects of climate change on food security, in Pichincha Province and the Jubones River basin","USD 7,449,468"
220329,adaptationfundorg4220329_4_054,https://www.adaptation-fund.org/project/adaptation-to-coastal-erosion-in-vulnerable-areas/,N,adaptationfundorg4,Adaptation to Coastal Erosion in Vulnerable Areas,"USD 8,619,000"
220430,agropolis_220430_4_000,https://www.agropolis-fondation.fr/article989,Y,agropolis,LAGRO,Budgetallocated:24084€
220430,agropolis_220430_4_001,https://www.agropolis-fondation.fr/article1426,Y,agropolis,GCARD 2012,Budgetallocated:200000€
220430,agropolis_220430_4_002,https://www.agropolis-fondation.fr/article1427,Y,agropolis,Prix Louis Malassis 2012,Budgetallocated:40000€
220430,agropolis_220430_4_003,https://www.agropolis-fondation.fr/article1484,Y,agropolis,Ad hoc support,Budgetallocated:2000€
220430,agropolis_220430_4_004,https://www.agropolis-fondation.fr/article1611,Y,agropolis,SCANORHIZE,Budgetallocated:25000€
220430,agropolis_220430_4_005,https://www.agropolis-fondation.fr/article1613,Y,agropolis,FRANTIC,Budgetallocated:40000€
220430,agropolis_220430_4_006,https://www.agropolis-fondation.fr/article1624,Y,agropolis,Valorisation des activités réalisées dans le cadre du partenariat Danone-Cirad-AF,Budgetallocated:15252€
220430,agropolis_220430_4_007,https://www.agropolis-fondation.fr/article1680,Y,agropolis,Shrub Forage Banks for African Dairy Farmers (SFBs project),Budgetallocated:24800€
220430,agropolis_220430_4_008,https://www.agropolis-fondation.fr/article1683,Y,agropolis,RUbber agroforestry Breeding Initiative for Smallholders (RUBIS),Budgetallocated:230000€
220430,agropolis_220430_4_009,https://www.agropolis-fondation.fr/article1686,Y,agropolis,WASACA,Budgetallocated:245000€
220430,agropolis_220430_4_010,https://www.agropolis-fondation.fr/article1688,Y,agropolis,TAE NIGER,Budgetallocated:15000€
220430,agropolis_220430_4_011,https://www.agropolis-fondation.fr/Innovation-and-Sustainable-Development-in-Agriculture-and-Food-Symposium-ISDA,Y,agropolis,IDD 2010,Budgetallocated:30000€
220430,agropolis_220430_4_012,https://www.agropolis-fondation.fr/Biodiversity-friendly-consumers-behavior,Y,agropolis,BiFriCoBe,Budgetallocated:8856€
220430,agropolis_220430_4_013,https://www.agropolis-fondation.fr/Biodiversity-friendly-consumers-behavior-1521,Y,agropolis,BiFriCoBe,Budgetallocated:8856€
220430,agropolis_220430_4_014,https://www.agropolis-fondation.fr/Renforcement-du-reseau-des-maisons-experimentales-de-Montpellier,Y,agropolis,Ad hoc support : Renforcement du Resem,Budgetallocated:124000€
220430,agropolis_220430_4_015,https://www.agropolis-fondation.fr/Strengthening-the-Experimental-Greenhouses-Network-in-Montpellier,Y,agropolis,Renforcement du Resem,Budgetallocated:124000€
220430,agropolis_220430_4_016,https://www.agropolis-fondation.fr/Workshop-on-Tree-stability-models-standardisation-and-integration,Y,agropolis,TREESTAB,Budgetallocated:3507.65€
220430,agropolis_220430_4_017,https://www.agropolis-fondation.fr/Digitalisation-des-systemes-agri-alimentaires-perspectives-des-SHS,Y,agropolis,Ad hoc support : Agri et Numérique en SHS,Budgetallocated:7000€
220430,agropolis_220430_4_018,https://www.agropolis-fondation.fr/COTTON-ADAPTATION-TO-WATER-STRESS-GENETIC-AND-MORPHO-PHYSIOLOGICAL-DETERMINISM,Y,agropolis,’AWARD : Contrôle biologique des contaminations par les mycotoxines dans l’alimentation et développement d’une méthode rapide de détectionl’,Budgetallocated:'15600'€
220430,agropolis_220430_4_019,https://www.agropolis-fondation.fr/Ideotype-plants-from-Defensin-Protein-Promiscuity,Y,agropolis,’AWARD : Contrôle biologique des contaminations par les mycotoxines dans l’alimentation et développement d’une méthode rapide de détectionl’,Budgetallocated:'15600'€
220430,agropolis_220430_4_020,https://www.agropolis-fondation.fr/International-training-and-research-project-in-nutrition-and-health,Y,agropolis,’BIOFIS’,Budgetallocated:'1000000'€
220430,agropolis_220430_4_021,https://www.agropolis-fondation.fr/L-agriculture-de-conservation-dans-les-systemes-de-culture-du-riz-a-Madagascar,Y,agropolis,’Nutritional characterisation of Ghanaian fruits and vegetables’,Budgetallocated:'20000'€
220430,agropolis_220430_4_022,https://www.agropolis-fondation.fr/Combine-approche-eco-physiologique-et-Modelisation-3D-pour-comprendre-et,Y,agropolis,’Nutritional characterisation of Ghanaian fruits and vegetables’,Budgetallocated:'20000'€
220430,agropolis_220430_4_023,https://www.agropolis-fondation.fr/Renforcement-de-la-plate-forme-scientifique-existante-LipPolGreen-LPG-hebergee,Y,agropolis,’Nutritional characterisation of Ghanaian fruits and vegetables’,Budgetallocated:'20000'€
220430,agropolis_220430_4_024,https://www.agropolis-fondation.fr/Relationships-between-domestication-genes-and-phenotypic-traits-in,Y,agropolis,’Nutritional characterisation of Ghanaian fruits and vegetables’,Budgetallocated:'20000'€
220430,agropolis_220430_4_025,https://www.agropolis-fondation.fr/Rosom-Influence-of-root-soil-mechanical-interaction-on-the-variability-of-root,Y,agropolis,’Nutritional characterisation of Ghanaian fruits and vegetables’,Budgetallocated:'20000'€
220430,agropolis_220430_4_026,https://www.agropolis-fondation.fr/Determiner-la-structure-et-la-fonction-d-une-nouvelle-famille-de-petites,Y,agropolis,’Nutritional characterisation of Ghanaian fruits and vegetables’,Budgetallocated:'20000'€
220430,agropolis_220430_4_027,https://www.agropolis-fondation.fr/Centre-de-formation-et-de-ressources-cooperatif-sur-la-politique-agricole,Y,agropolis,’Nutritional characterisation of Ghanaian fruits and vegetables’,Budgetallocated:'20000'€
220430,agropolis_220430_4_028,https://www.agropolis-fondation.fr/Laboratoires-hors-murs-pour-promouvoir-l-utilisation-de-l-agrobiodiversite-dans,Y,agropolis,’Nutritional characterisation of Ghanaian fruits and vegetables’,Budgetallocated:'20000'€
220430,agropolis_220430_4_029,https://www.agropolis-fondation.fr/Methods-and-tools-for-decision-support-relating-to-sustainable-management-of,Y,agropolis,’Nutritional characterisation of Ghanaian fruits and vegetables’,Budgetallocated:'20000'€
220430,agropolis_220430_4_030,https://www.agropolis-fondation.fr/Combining-opto-physical-modelling-of-plant-structures-and-chemometrics-tools,Y,agropolis,’Nutritional characterisation of Ghanaian fruits and vegetables’,Budgetallocated:'20000'€
220430,agropolis_220430_4_031,https://www.agropolis-fondation.fr/Improvement-of-using-multispectral-and-thermal-high-resolution-images-acquired,Y,agropolis,’Nutritional characterisation of Ghanaian fruits and vegetables’,Budgetallocated:'20000'€
220430,agropolis_220430_4_032,https://www.agropolis-fondation.fr/Domestication-passee-et-presente-du-cacao-dans-la-region-de-haute-Amazonie-d,Y,agropolis,’Nutritional characterisation of Ghanaian fruits and vegetables’,Budgetallocated:'20000'€
220430,agropolis_220430_4_033,https://www.agropolis-fondation.fr/Redirecting-Carbon-to-Triacylglycerol-Synthesis-in-Developing-Oilseeds,Y,agropolis,’Nutritional characterisation of Ghanaian fruits and vegetables’,Budgetallocated:'20000'€
220430,agropolis_220430_4_034,https://www.agropolis-fondation.fr/PHOSPHORE-2014-Organisation-du-5eme-Symposium-international-sur-la-dynamique-du,Y,agropolis,’Nutritional characterisation of Ghanaian fruits and vegetables’,Budgetallocated:'20000'€
220430,agropolis_220430_4_035,https://www.agropolis-fondation.fr/Cryopreservation-of-threatened-American-plants,Y,agropolis,’Nutritional characterisation of Ghanaian fruits and vegetables’,Budgetallocated:'20000'€
220430,agropolis_220430_4_036,https://www.agropolis-fondation.fr/Les-genomes-chloroplastiques-comme-un-outil-pour-la-genetique-des-populations,Y,agropolis,’Nutritional characterisation of Ghanaian fruits and vegetables’,Budgetallocated:'20000'€
220430,agropolis_220430_4_037,https://www.agropolis-fondation.fr/The-AeschyMap-project-development-of-a-genetic-map-for-the-Nod-independent,Y,agropolis,’Nutritional characterisation of Ghanaian fruits and vegetables’,Budgetallocated:'20000'€
220430,agropolis_220430_4_038,https://www.agropolis-fondation.fr/Resilience-2014,Y,agropolis,’Nutritional characterisation of Ghanaian fruits and vegetables’,Budgetallocated:'20000'€
220430,agropolis_220430_4_039,https://www.agropolis-fondation.fr/Sequencage-du-mobilome-une-nouvelle-technique-pour-identifier-les,Y,agropolis,’Nutritional characterisation of Ghanaian fruits and vegetables’,Budgetallocated:'20000'€
220430,agropolis_220430_4_040,https://www.agropolis-fondation.fr/Seminaires-Agropolis-sur-la-modelisation-des-plantes,Y,agropolis,’Nutritional characterisation of Ghanaian fruits and vegetables’,Budgetallocated:'20000'€
220430,agropolis_220430_4_041,https://www.agropolis-fondation.fr/Selection-genomique-pour-l-efficience-de-l-utilisation-des-ressources-chez-le,Y,agropolis,’Parasitism of apple fruit fly’,Budgetallocated:'4784'€
220430,agropolis_220430_4_042,https://www.agropolis-fondation.fr/Connecting-biologies-on-rice-disease-resistance-drought-tolerance-and-flowering,Y,agropolis,’Parasitism of apple fruit fly’,Budgetallocated:'4784'€
220430,agropolis_220430_4_043,https://www.agropolis-fondation.fr/Etude-de-l-evolution-du-developpement-reproductif-dans-le-genre-Oryza-pour-l,Y,agropolis,’Parasitism of apple fruit fly’,Budgetallocated:'4784'€
220430,agropolis_220430_4_044,https://www.agropolis-fondation.fr/Contribution-of-plant-characteristics-to-ecologically-realistic-understanding,Y,agropolis,’RICE CONNECTIONS’,Budgetallocated:'274989'€
220430,agropolis_220430_4_045,https://www.agropolis-fondation.fr/Sustainable-urban-food-systems-Surfood,Y,agropolis,’RICE CONNECTIONS’,Budgetallocated:'274989'€
220430,agropolis_220430_4_046,https://www.agropolis-fondation.fr/Dynamique-comparee-des-styles-alimentaires-urbains,Y,agropolis,’RICE CONNECTIONS’,Budgetallocated:'274989'€
220430,agropolis_220430_4_047,https://www.agropolis-fondation.fr/Preparation-d-un-projet-federatif-securite-alimentaire-durable-dans-le-cadre-de,Y,agropolis,’RICE CONNECTIONS’,Budgetallocated:'274989'€
220430,agropolis_220430_4_048,https://www.agropolis-fondation.fr/Genetic-processes-that-allow-bacterial-pathogens-to-infect-their-hosts,Y,agropolis,’RICE CONNECTIONS’,Budgetallocated:'274989'€
220430,agropolis_220430_4_049,https://www.agropolis-fondation.fr/First-International-Conference-Organic-Rice-Farming-and-Production-Systems,Y,agropolis,’RICE CONNECTIONS’,Budgetallocated:'274989'€
220430,agropolis_220430_4_050,https://www.agropolis-fondation.fr/Exchange-and-use-of-Genetic-Resources-for-Food-and-Agriculture-ExUSE,Y,agropolis,’RICE CONNECTIONS’,Budgetallocated:'274989'€
220430,agropolis_220430_4_051,https://www.agropolis-fondation.fr/Recensement-des-especes-et-leurs-evolutions-dans-le-cadre-de-creation-d,Y,agropolis,’RICE CONNECTIONS’,Budgetallocated:'274989'€
220430,agropolis_220430_4_052,https://www.agropolis-fondation.fr/Thinking-about-global-food-system-transformations-towards-strengthening,Y,agropolis,’RICE CONNECTIONS’,Budgetallocated:'274989'€
220430,agropolis_220430_4_053,https://www.agropolis-fondation.fr/Pr-J-wunsche-sojourn-in-AFEF-teamand-contribution-to-study-on-apple-tree,Y,agropolis,’RICE CONNECTIONS’,Budgetallocated:'274989'€
220430,agropolis_220430_4_054,https://www.agropolis-fondation.fr/Sustainability-of-urban-agriculture-public-policies-and-innovations,Y,agropolis,’RICE CONNECTIONS’,Budgetallocated:'274989'€
220430,agropolis_220430_4_055,https://www.agropolis-fondation.fr/Premier-Atelier-de-Biologie-Moleculaire-et-de-Genetique-Vegetale-en-Afrique-de,Y,agropolis,’RICE CONNECTIONS’,Budgetallocated:'274989'€
220430,agropolis_220430_4_056,https://www.agropolis-fondation.fr/Biochemical-and-structural-study-of-Macho-plantain-starch-during-development,Y,agropolis,’RICE CONNECTIONS’,Budgetallocated:'274989'€
220430,agropolis_220430_4_057,https://www.agropolis-fondation.fr/Characterization-of-associations-between-condensed-tannins-and-plant-cell-walls,Y,agropolis,’RICE CONNECTIONS’,Budgetallocated:'274989'€
220430,agropolis_220430_4_058,https://www.agropolis-fondation.fr/Winemooc,Y,agropolis,’Drought and salinity tolerance in rice (Oryza sativa L.)’,Budgetallocated:'10000'€
220430,agropolis_220430_4_059,https://www.agropolis-fondation.fr/Bottom-up-mathematical-programming-for-sustainable-food-supply-in-the-21st,Y,agropolis,’Drought and salinity tolerance in rice (Oryza sativa L.)’,Budgetallocated:'10000'€
